LAMMPS data file via write_data, version 4 Feb 2025, timestep = 26080001, units = real

420 atoms
3 atom types

-6.991740694938642 56.99174069493861 xlo xhi
-6.991740694938642 56.99174069493861 ylo yhi
-3.495870347469321 28.495870347469307 zlo zhi

Masses

1 1.008
2 12.0107
3 15.9994

Atoms # charge

206 3 -0.1561510779993775 -2.187009193165239 -5.076109568898073 -1.647523286856902 -1 15 14
338 1 0.08340698140980203 -1.8439102524941289 -1.7472979269018152 -2.244442423403904 2 -3 -7
20 1 0.08391624721956911 -4.127923438409154 -2.237597433286222 -0.7013445590323383 2 -4 -7
205 3 -0.1156853313654071 -3.0919686765723897 -5.907640487595836 -1.9319936270930953 -1 15 14
337 2 -0.113417091690309 -2.7313048713805825 -2.2941027928619926 -2.5861232607246443 2 -3 -7
123 2 -0.2582186157531094 -3.5206971798416826 -2.9015152020344686 -1.3167668139478073 2 -4 -7
21 1 0.1490290430586845 -4.164404245349646 -3.7574677103667997 -1.7764221095978845 2 -4 -7
339 1 0.1297291875493757 -2.4071645497886296 -3.026263739007206 -3.2143684674566586 2 -3 -7
124 1 0.1975667010348187 -2.927998753621646 -3.4951831333002565 -0.7243374480940862 2 -4 -7
347 1 0.07044923550609722 -5.298464390727252 -1.763482641131706 -1.5287387148329539 2 -3 -6
301 3 -0.08104688306722291 20.697353998832295 -6.383806149230817 5.291293608005689 9 2 15
221 2 -0.08357299663467521 1.432424577017206 23.303064701855583 1.6260127362739027 -4 9 -10
220 1 0.06908084834933943 1.5534573087360786 23.37630780076784 -0.7986930162541356 -4 9 -10
343 2 -0.09444907920031274 -4.321935430452498 -0.09352359281307387 -2.679600578126415 2 -3 -7
345 1 0.07521837314883188 -3.7401963571981374 0.3625175147900156 -1.8220890840508583 2 -3 -7
346 2 -0.192855736984981 -5.5435031726772594 -0.8586897333428694 -2.169090413853048 2 -3 -6
348 1 0.09086072391290878 -6.359884702968966 -0.37397578496898193 -1.6675056759877922 2 -3 -6
349 1 0.08682484344459104 -5.93169191972111 -1.209798243043473 -3.1188226569048894 2 -3 -6
91 3 -0.0817860299582826 18.291630323501717 3.6004809278042407 2.6746123010950824 2 -1 3
90 3 -0.08688988117177712 19.115993872779885 4.398120820023769 2.218774011175422 2 -1 3
297 3 -0.09253639381650308 17.112567109489067 18.37409426646551 -2.20930980557652 4 7 1
216 1 0.06073718675394689 2.4152463814439904 21.212497519216463 -1.0663254872467058 -4 9 -10
340 2 -0.1156273248768247 -3.4571958899223203 -1.2085256023629192 -3.4663062952641357 2 -3 -7
319 1 0.113489217564123 19.5544951838686 5.887217651814244 -3.3016385341952676 1 -2 17
227 1 0.09977798194583332 -0.6518907599098022 23.47584900167131 2.343020833290958 -4 9 -10
366 1 0.0878054711434226 9.060723705907224 14.459344975678304 -1.3327884428286116 -9 1 14
363 2 -0.1936942364069802 9.792614303393785 13.720935653792472 -0.8554623060035251 -9 1 14
365 1 0.09232838143683075 9.393829353501438 13.421951790060294 0.16335079278207743 -9 1 14
364 1 0.09341815659875877 9.963728534375763 12.778306438408658 -1.5089977921774322 -9 1 14
218 2 -0.1104817469291644 1.9468601526984621 23.021894898498577 0.18206196859345547 -4 9 -10
224 2 -0.2304700064131478 -0.15035769550719885 23.379943130726527 1.385996801553562 -4 9 -10
358 1 0.07623934645733856 12.415148395911947 12.913959415450485 0.3677611325827771 -9 1 14
360 2 -0.1141140342838854 11.118574083108308 14.49036321658525 -0.5434417205563211 -9 1 14
359 1 0.07426957254622173 11.763855422098692 14.047562794162205 1.5545439084947101 -9 1 14
357 2 -0.1170890871654431 12.142307034111406 13.982998488708478 0.5790338693726426 -9 1 14
257 1 0.07490044079650829 10.761235561419946 15.403105222890224 -0.1684260059600976 -9 1 14
361 1 0.07824179143717033 11.615930896583327 14.771749247627415 -1.3741379277150376 -9 1 14
352 1 0.09762158651155339 14.561032379076055 13.441958082186282 1.5787922220086017 -9 1 14
353 1 0.1034487926522115 14.904686934972021 13.272225128741876 -0.16876076428062275 -9 1 14
350 2 -0.2439732390873355 14.673255549440745 13.981978501415181 0.6671211694288064 -9 1 14
351 1 0.1249025157807568 15.372451474311783 14.710228527390848 0.8406282929511306 -9 1 14
250 1 0.07598384841149403 13.46270471778971 15.597122219087197 1.172998628570843 -9 1 14
296 3 -0.08245475982985234 17.531497768815612 19.449032219824954 -1.767268986630076 4 7 1
356 1 0.0851258054798964 13.473606227629476 15.293827281029351 -0.5916591698928887 -9 1 14
354 2 -0.1069532288766721 13.402217092730096 14.863590279522185 0.389012353531751 -9 1 14
222 1 0.06026822306905924 1.813225796250895 24.230982439447185 2.140070796320043 -4 9 -10
226 1 0.09392618870373351 -0.5503308112039496 22.584202119551417 0.6363768250903281 -4 9 -10
225 1 0.1150499990027622 -0.19394588686876646 24.29936399054634 1.0139990918045474 -4 9 -10
219 1 0.08027184643245296 2.987989430030284 23.31053920774291 0.32347931867754376 -4 9 -10
223 1 0.06527202771132391 1.497792836270905 22.436956250253548 2.3783229777258925 -4 9 -10
217 1 0.06499527884906511 1.1082303679425847 20.988182118219843 0.05397694681318151 -4 9 -10
215 2 -0.08704639376842699 2.0927398272685886 21.45340326354747 0.0004677048855321795 -4 9 -10
213 1 0.1071481764168387 2.9457245674827095 19.831017875170968 1.0538897162682217 -4 9 -10
214 1 0.0959582276149796 4.116125934406071 20.992684232281068 0.36533430687651447 -4 9 -10
211 2 -0.2198762790852037 3.1690588986921764 20.817981061268586 0.9236723061017943 -4 9 -10
212 1 0.08425513659496542 3.2479038509716918 21.20254473789871 1.9772923878379673 -4 9 -10
344 1 0.07270665318781572 -4.506183564887495 0.6168273071745155 -3.4566892137012175 2 -3 -6
202 3 -0.2141355876472756 11.23581405708632 -5.378559965659394 21.93458990661691 -17 -27 36
174 2 0.05974277925389788 10.574650897107077 -5.69932577189535 20.880404627096222 -8 -11 23
414 3 -0.08469272805178585 16.97194878257654 11.21265361602688 22.532556453626285 2 15 -35
36 1 0.08270078576823912 18.757502698681407 -6.19352522984953 21.730890862730153 -2 -7 10
37 1 0.08304712973515851 19.08731900757843 -4.632019771331653 20.75647703831856 -2 -7 10
35 2 -0.182878314719036 19.331219702396417 -5.767704813616008 20.83026099902679 -2 -7 10
38 1 0.08865161537795593 18.852479166146328 -6.357577565514256 19.98154245166067 -2 -7 10
87 3 -0.08284771121147663 6.149853423323678 18.403093750629964 16.271399457357358 -4 3 19
86 3 -0.08284771121147697 7.136399644222501 17.85982882153855 15.677217923365284 -4 3 19
304 3 -0.08527292848518761 5.445567841690575 -1.3085679550288731 20.656744351232074 7 4 -1
305 3 -0.08120464247579998 4.841420336281846 -0.31959073091330786 21.07574893160904 7 4 -1
175 1 0.07129865655081277 9.460141545724406 -5.873827844033687 20.809895469340095 -8 -11 23
44 1 0.08723872449751244 20.84117641591539 -5.050046219499069 22.90587619633191 -2 -7 10
43 1 0.07656634308833893 21.25675541016614 -3.887418394647053 21.44251260832235 -2 -7 10
48 2 -0.1996911961431997 22.939780236797034 -5.941457470267786 23.572901971109992 -2 -7 10
49 1 0.0901071013031278 22.248877115425902 -6.75433341528287 23.78318213318948 -2 -7 10
50 1 0.09122508351741707 24.015408337677336 -6.323442709572195 23.633907748005253 -2 -7 10
42 2 -0.1230369665555512 21.31709811558419 -4.90501666508275 21.965579215802332 -2 -7 10
51 1 0.08553096623492454 22.88842588837555 -5.245279762464237 24.5153020649023 -2 -7 10
341 1 0.06222046656539335 -2.622671983136643 -0.8059132827887835 27.933999321082016 2 -3 -7
46 1 0.06746352525538861 23.510704435790053 -5.153401237305756 21.571184042363978 -2 -7 10
45 2 -0.03961453768643047 22.713219917181082 -5.241940176539123 22.277436354497297 -2 -7 10
41 1 0.06479269539830756 21.252011055397897 -5.5056104080341495 19.749311702927702 -2 -7 10
39 2 -0.08761215198440395 20.859529860873884 -5.892332362085827 20.76837927374221 -2 -7 10
145 1 0.07298078026606843 21.378335364818376 -6.87618890179095 20.85474871761299 -1 -7 10
325 1 0.06699381777529548 21.560567912402192 7.763637359088054 27.57101341248255 1 -2 16
332 1 0.1085459575905508 24.260346119152945 8.543811466324538 26.048112032078766 1 -2 16
324 1 0.07974817446826424 21.62462900092843 7.216948804148621 25.776040836424194 1 -2 16
323 2 -0.1196613914014317 21.84133064268113 6.960018226371377 26.780637858845488 1 -2 16
327 1 0.07114385309552208 23.603160890627734 6.11290615014029 25.920881490944492 1 -2 16
326 2 -0.09277921309245922 23.4541097942589 6.743206789644041 26.807925947915102 1 -2 16
330 1 0.09581231504934803 23.551713112597707 8.59421605500093 27.799968315424582 1 -2 16
132 1 0.07307519318936305 -4.143791239971025 -1.6166149751605574 27.825826831141857 2 -4 -8
329 2 -0.21300199852343 24.157532669635543 8.098244906351834 27.093915454772493 1 -2 16
328 1 0.06854401153363393 23.438274768468318 5.988128862380236 27.64918222430089 1 -2 16
413 3 -0.08412997223149885 16.206453703953173 11.631124113295444 23.471447074887923 2 15 -35
317 1 0.09026846577267074 19.167375852826247 6.838513438814249 27.200276524718102 1 -2 16
320 2 -0.1291047666625145 21.113980697001388 5.646719594975269 27.228554679846784 1 -2 16
322 1 0.1011534161209865 20.80350743865592 5.1473916555210275 26.429061298260297 1 -2 16
176 1 0.07716700708745014 10.950526299523869 -5.329955024061238 19.964532567083264 -8 -11 23
316 2 -0.222512935078216 19.571937448243872 5.815253357709619 27.6471020672893 1 -2 16
318 1 0.09019312683392056 18.795299093982525 5.054281280577935 27.403051480846575 1 -2 16
321 1 0.07831270962242087 21.524937204371568 5.086974981783714 28.063558374321456 1 -2 16
186 1 0.03572905674940141 23.030465363925764 42.50231723176873 11.601885820756342 10 -22 15
253 1 0.0606911656524254 -6.053165139308909 33.81961082269654 2.240128274760132 -7 2 28
300 3 -0.08280836205313849 20.412772700518417 56.4323892283332 5.358475462586772 9 1 15
260 1 0.110921559083832 -6.271252093348935 35.85269849152779 -0.132748036967508 -7 2 28
55 1 0.02545476132556718 23.82946221269412 36.67558416785613 5.699535781480205 -12 23 7
254 1 0.07676548593893398 -6.691161797813028 35.258921787430616 2.7569753437583797 -7 2 28
143 1 0.09686365495318118 17.337881339502285 49.152767730750384 4.8175881095534345 11 3 -13
258 2 -0.2157913465854958 -6.610699073694274 34.81812309349148 -0.09761230631246753 -7 2 28
383 1 0.03267830712192182 23.257409632652283 37.00793867331003 5.947506061198305 -17 12 -15
140 2 -0.2215686573168561 16.879081332995867 48.32669583276904 4.393046352723754 11 3 -13
144 2 -0.093949564134391 16.638808546648715 48.39969193618543 2.7710193988477436 11 3 -13
146 1 0.07223372629308022 16.259058971305993 47.478996015285944 2.222138473907977 11 3 -13
47 1 0.08073469838885065 16.041689849932997 50.42153484462946 0.7366494806461753 11 3 -13
151 1 0.08000989484209431 14.72252254528896 49.28333995274027 0.6640226235586145 11 3 -13
40 1 0.07049468413012043 17.65178490497623 48.61186763494726 2.3066780022564237 11 3 -13
150 2 -0.1049290304963723 15.16619144608429 50.11974669770677 1.2381641983877814 11 3 -13
147 2 -0.0968056626301444 15.575616654562968 49.52189807095902 2.7058902144978947 11 3 -13
148 1 0.05683169833744722 14.57185632637811 49.343232158693844 3.3117001453933153 11 3 -13
153 2 -0.1996287898544566 14.076273224513793 51.179894107202664 1.4876780004341514 11 3 -13
149 1 0.06908430965944148 16.146805275080357 50.283227480550615 3.2884987243955752 11 3 -13
154 1 0.0876854326041635 13.065453498521551 50.838054495473415 1.6992065472583275 11 3 -13
155 1 0.08747741275611233 14.242095151056041 51.772107659300026 2.370848819604959 11 3 -13
156 1 0.09245199741388443 13.98526355384148 51.91664001232656 0.6299699340125909 11 3 -13
142 1 0.09412549164832659 17.574678290558204 47.49686865513085 4.753338005624466 11 3 -13
141 1 0.1004746863161152 15.878567283458745 48.18119682003106 4.7655088410753805 11 3 -13
408 3 -0.0840293579348137 -4.0007513586488574 40.56235492037539 7.04524091940091 4 -2 8
407 3 -0.0837992385540296 -3.159276037176056 39.693657590321756 7.522019830965979 4 -2 8
188 1 0.09117650209980013 23.104496279572274 42.36469855803247 12.478268921803778 10 -22 14
259 1 0.07561080707057723 -5.633517193959847 34.28634608342628 0.033598429366851666 -7 2 28
378 1 0.1375077164699176 8.465297733299774 41.13905874012974 12.133292475429352 1 4 -11
307 3 -0.08315232989491994 22.55385198016029 28.668973450294306 15.024420105723543 -10 -6 11
306 3 -0.08374634361494221 22.260003185086408 29.836610328860754 14.50290743111386 -10 -6 11
199 3 -0.09243292953597118 1.815656585072297 36.65029672987681 20.66680145778556 2 -5 -13
241 2 -0.224124951110155 11.30940095475738 37.37247714744057 13.666036136196073 10 9 17
244 1 0.1074254181024331 12.077047187411202 38.01076625059856 13.699330219403562 10 9 17
242 1 0.07582295401264369 11.644229657777746 36.73357123865224 12.75075877780769 10 9 17
243 1 0.132879265370951 10.285955495529375 37.74008995238136 13.394510188681693 10 9 17
125 1 0.1101744307210166 15.30299780439885 34.796250967315785 14.095963359863465 11 8 16
235 2 -0.1220118941015257 13.124761871069062 37.00766030831893 15.44478749208027 10 9 16
234 1 0.04591372940275464 13.86840092276054 36.85314843415524 13.221740970689366 10 9 16
233 1 0.06922923291004206 15.027833996437643 37.24425028659077 14.384740717457985 10 9 16
232 2 -0.07905906584168375 14.142245510786426 36.628012031778354 14.270986207772337 10 9 16
19 1 0.09162527323722094 13.636477529575936 34.63412807708926 13.928815523967446 10 8 16
238 2 -0.09540401737388382 11.683659325350318 36.66068163071982 15.134677373210168 10 9 16
240 1 0.07572065025491123 11.431842766763545 35.627165365900446 14.954970481550141 10 9 16
18 2 -0.2361003482210604 14.429889135320623 35.09836060963749 14.533417126939623 10 8 16
126 1 0.09777036956776004 14.410835203629297 34.67941256807877 15.477831583590318 11 8 16
58 1 0.09550859208437817 -2.833443172814358 41.099845766294074 17.866963872509636 -2 15 -12
56 2 -0.130166899536082 -2.8557437691977516 42.0331578237576 17.30519016484397 -2 15 -12
52 2 -0.1105131228054236 -1.7734528558144915 42.77805136911558 17.015626600695608 -2 15 -12
