LAMMPS (4 Feb 2025 - Development - patch_4Feb2025-554-g465171d58f)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
=== HEATING PHASE ===
Rate = 1 K/ps
Duration = 2006 ps = 20060000 steps
Reading restart file ...
  restart file = 4 Feb 2025, LAMMPS = 4 Feb 2025
  restoring atom style charge from restart
  orthogonal box = (-6.9917407 -6.9917407 -3.4958703) to (56.991741 56.991741 28.49587)
  2 by 2 by 2 MPI processor grid
  pair style reaxff stores no restart info
  420 atoms
  read_restart CPU = 0.003 seconds
Reading potential file ffield.reax.cho with DATE: 2011-02-18
=== STARTING HEATING ===

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- pair reaxff command: doi:10.1016/j.parco.2011.08.005
- fix qeq/reaxff command: doi:10.1016/j.parco.2011.08.005
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

WARNING: No fixes with time integration, atoms won't move
For more information see https://docs.lammps.org/err0028 (src/verlet.cpp:60)
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 11 11 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair reaxff, perpetual
      attributes: half, newton off, ghost
      pair build: half/bin/ghost/newtoff
      stencil: full/ghost/bin/3d
      bin: standard
  (2) fix qeq/reax, perpetual, copy from (1)
      attributes: half, newton off
      pair build: copy
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : real
  Current step  : 20001
  Time step     : 0.25
Per MPI rank memory allocation (min/avg/max) = 11.15 | 11.82 | 12.61 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Press          Volume    
     79000   311.18833     -40694.966      388.66159     -40306.304      79.789359      130970.54    
     80000   311.18833     -40694.965      388.66159     -40306.303      79.829424      130970.54    
     81000   311.18833     -40694.965      388.66159     -40306.304      79.840266      130970.54    
     82000   311.18833     -40694.963      388.66159     -40306.301      79.896115      130970.54    
     83000   311.18833     -40694.969      388.66159     -40306.308      79.817346      130970.54    
     84000   311.18833     -40694.965      388.66159     -40306.304      79.732492      130970.54    
     85000   311.18833     -40694.969      388.66159     -40306.307      79.711828      130970.54    
     86000   311.18833     -40694.965      388.66159     -40306.303      79.858875      130970.54    
     87000   311.18833     -40694.969      388.66159     -40306.308      79.845869      130970.54    
     88000   311.18833     -40694.97       388.66159     -40306.308      79.758393      130970.54    
     89000   311.18833     -40694.969      388.66159     -40306.307      79.869852      130970.54    
     90000   311.18833     -40694.966      388.66159     -40306.305      79.845791      130970.54    
     91000   311.18833     -40694.967      388.66159     -40306.306      79.820483      130970.54    
     92000   311.18833     -40694.968      388.66159     -40306.307      79.82968       130970.54    
     93000   311.18833     -40694.965      388.66159     -40306.303      79.81778       130970.54    
     94000   311.18833     -40694.967      388.66159     -40306.305      79.75627       130970.54    
     95000   311.18833     -40694.968      388.66159     -40306.306      79.760533      130970.54    
     96000   311.18833     -40694.968      388.66159     -40306.307      79.85395       130970.54    
     97000   311.18833     -40694.968      388.66159     -40306.306      79.858448      130970.54    
     98000   311.18833     -40694.968      388.66159     -40306.306      79.86931       130970.54    
     99000   311.18833     -40694.966      388.66159     -40306.305      79.807898      130970.54    
    100000   311.18833     -40694.967      388.66159     -40306.305      79.867129      130970.54    
    101000   311.18833     -40694.968      388.66159     -40306.307      79.852881      130970.54    
    102000   311.18833     -40694.966      388.66159     -40306.304      79.875966      130970.54    
    103000   311.18833     -40694.966      388.66159     -40306.304      79.822612      130970.54    
    104000   311.18833     -40694.965      388.66159     -40306.304      79.854267      130970.54    
    105000   311.18833     -40694.951      388.66159     -40306.289      80.082983      130970.54    
    106000   311.18833     -40694.963      388.66159     -40306.301      79.920621      130970.54    
    107000   311.18833     -40694.966      388.66159     -40306.304      79.852742      130970.54    
    108000   311.18833     -40694.968      388.66159     -40306.306      79.881191      130970.54    
    109000   311.18833     -40694.967      388.66159     -40306.306      79.799267      130970.54    
    110000   311.18833     -40694.97       388.66159     -40306.308      79.776365      130970.54    
    111000   311.18833     -40694.965      388.66159     -40306.304      79.867492      130970.54    
    112000   311.18833     -40694.97       388.66159     -40306.309      79.787081      130970.54    
    113000   311.18833     -40694.966      388.66159     -40306.304      79.709707      130970.54    
    114000   311.18833     -40694.967      388.66159     -40306.305      79.768319      130970.54    
    115000   311.18833     -40694.965      388.66159     -40306.304      79.89879       130970.54    
    116000   311.18833     -40694.968      388.66159     -40306.307      79.86543       130970.54    
    117000   311.18833     -40694.969      388.66159     -40306.307      79.876425      130970.54    
    118000   311.18833     -40694.966      388.66159     -40306.305      79.846781      130970.54    
    119000   311.18833     -40694.962      388.66159     -40306.301      79.884023      130970.54    
    120000   311.18833     -40694.967      388.66159     -40306.305      79.850354      130970.54    
    121000   311.18833     -40694.964      388.66159     -40306.302      79.89184       130970.54    
    122000   311.18833     -40694.968      388.66159     -40306.306      79.883529      130970.54    
    123000   311.18833     -40694.965      388.66159     -40306.304      79.833118      130970.54    
    124000   311.18833     -40694.965      388.66159     -40306.303      79.898223      130970.54    
    125000   311.18833     -40694.967      388.66159     -40306.306      79.884324      130970.54    
    126000   311.18833     -40694.966      388.66159     -40306.304      79.859337      130970.54    
    127000   311.18833     -40694.966      388.66159     -40306.304      79.850717      130970.54    
    128000   311.18833     -40694.968      388.66159     -40306.306      79.780065      130970.54    
    129000   311.18833     -40694.97       388.66159     -40306.308      79.853656      130970.54    
    130000   311.18833     -40694.966      388.66159     -40306.304      79.787656      130970.54    
    131000   311.18833     -40694.968      388.66159     -40306.307      79.808162      130970.54    
    132000   311.18833     -40694.966      388.66159     -40306.305      79.844148      130970.54    
    133000   311.18833     -40694.967      388.66159     -40306.306      79.762887      130970.54    
    134000   311.18833     -40694.961      388.66159     -40306.3        79.863743      130970.54    
    135000   311.18833     -40694.966      388.66159     -40306.305      79.859866      130970.54    
