ITEM: TIMESTEP
26000
ITEM: NUMBER OF ATOMS
2835
ITEM: BOX BOUNDS pp pp pp
-3.0039611703393021e+00 7.8003961170339295e+01
-3.0039611703393021e+00 7.8003961170339295e+01
-3.0039611703393021e+00 7.8003961170339295e+01
ITEM: ATOMS id type x y z q
436 1 34.7206 35.5742 4.62757 0.106147
431 2 35.4532 35.237 6.68513 -0.122421
434 2 35.6916 35.4933 5.15772 -0.226819
435 1 36.28 34.6809 4.73809 0.115338
437 1 36.2429 36.4129 5.02744 0.0939459
432 1 34.8825 34.3171 6.8158 0.130011
427 1 34.141 35.5063 9.09501 0.10616
426 1 35.7151 36.2664 9.17178 0.0688006
525 3 52.3788 31.327 8.96274 -0.0874345
524 3 52.333 32.3953 9.65455 -0.092363
527 1 63.3609 36.9032 8.57736 0.0916408
529 1 65.0844 36.7412 9.0362 0.0885225
526 2 64.2419 37.4453 8.89021 -0.205429
335 1 77.1413 32.6894 3.82487 0.027332
715 1 0.961255 2.85617 15.354 0.152896
712 2 0.573892 2.04832 15.9573 -0.287652
714 1 0.581481 2.10708 17.0575 0.190119
713 1 0.285407 1.11899 15.4984 0.137541
315 3 -1.20913 3.44212 17.2443 -0.13303
53 1 16.6019 3.92212 15.7893 0.123806
17 1 27.0484 0.381006 10.5745 0.0871898
13 1 27.6124 0.644779 13.1828 0.0918428
12 1 25.8221 0.963113 13.3883 0.0921927
11 2 26.6665 0.845005 12.731 -0.133043
15 1 25.4664 1.1578 10.896 0.087553
14 2 26.5261 1.10133 11.2305 -0.178953
16 1 26.9553 2.09621 10.9845 0.0707383
828 3 49.0405 -2.29987 11.4524 -0.0870786
827 3 48.2135 -1.41631 11.8154 -0.0866506
58 1 8.09571 4.17817 10.9015 0.0880829
56 2 8.37564 5.02383 10.3011 -0.154471
61 1 8.4717 6.53507 11.8809 0.0659566
59 2 8.96331 6.27302 10.9047 -0.0925869
67 1 10.7752 6.46285 13.3363 0.118729
68 1 9.94426 4.90705 12.8915 0.0916132
64 1 10.9119 5.40993 10.4103 0.0782728
62 2 10.5506 6.10494 11.1538 -0.105983
63 1 11.1248 7.02529 10.9416 0.091689
65 2 10.7567 5.64647 12.6146 -0.231865
97 3 14.4218 4.22696 15.0697 -0.117499
99 3 14.5936 10.0254 12.5356 -0.0860084
66 1 11.7385 5.1428 12.6933 0.143414
96 3 14.4618 4.24294 16.3533 -0.139996
55 1 16.3973 5.46119 15.5418 0.127085
52 2 15.996 4.68661 16.0941 -0.0993152
54 1 16.1413 4.95322 17.1719 0.0962706
150 2 19.9914 6.39131 16.2734 -0.0315774
151 1 21.2907 6.31663 14.6361 0.158105
153 2 20.3218 6.07445 15.0378 -0.183998
154 1 19.6306 5.48499 14.4167 0.139274
105 3 17.6803 5.02393 11.7746 -0.104126
104 3 16.9256 5.42905 12.7075 -0.108969
47 1 20.3317 9.19492 16.4231 0.115247
93 3 24.3333 8.50705 15.0872 -0.155636
92 3 23.3821 8.67173 14.2752 -0.11841
1133 1 26.862 8.78402 14.9467 0.204575
1132 2 27.1733 8.58287 15.986 -0.279117
1135 1 26.3733 8.03921 16.4762 0.153729
1129 2 27.4779 9.93856 16.7284 -0.074542
1134 1 28.0666 7.9569 15.8983 0.115154
193 3 27.4621 7.00107 12.7214 -0.214834
121 1 28.1293 5.45937 11.1248 0.150271
108 1 33.5707 5.64551 10.3574 0.0881418
204 3 29.047 9.88316 10.8093 -0.16791
114 1 30.9956 4.87129 10.6294 0.0631718
115 1 30.5725 6.4857 11.0494 0.0898409
107 1 32.9329 7.23395 10.9087 0.102326
1130 1 28.206 10.5646 16.2054 0.0669055
98 3 13.8928 11.026 12.1787 -0.0936567
186 1 26.5723 10.5883 16.8869 0.0494892
156 1 25.3923 11.063 16.3433 0.049628
310 3 55.1203 16.1131 10.5149 -0.133806
302 3 -2.98182 20.1618 16.0731 -0.135888
4 1 8.48912 17.7205 14.4791 0.0878293
3 1 7.70468 19.1826 14.9923 0.103286
7 1 9.14857 19.9252 13.1826 0.0753666
1 2 8.65739 18.7124 14.936 -0.21051
2 1 9.09184 18.5489 15.9585 0.0911526
10 1 10.4573 20.4969 15.9863 0.0870239
9 1 10.1579 21.7143 14.738 0.0922552
8 2 10.0643 20.681 15.012 -0.145569
5 2 9.6371 19.5854 14.0564 -0.0864201
6 1 10.5161 18.9953 13.7661 0.0750664
1525 1 26.6416 19.2075 12.2243 0.0449603
